transectid,reef_name,lat,lng,Dist_name,Algae,Hard corals,Other,Soft Coral
15015,Tijou Reef,-13.1205016666667,143.978481944444,No disturbance,0.5587446954839062,0.38648344303625937,0.001229397388441807,0.05354246409139275
15016,Tijou Reef,-13.0957380555556,143.978483055556,No disturbance,0.3955649039016077,0.5334998365634103,0.0278334938351182,0.04310176569986379
15017,Tijou Reef,-13.0508105555556,143.957225277778,No disturbance,0.25975216711378957,0.40771474708417327,0.24687536001009797,0.08565772579193917
15019,Tijou Reef,-13.2577761111111,143.959279166667,No disturbance,0.48524378621924247,0.42510842851099984,0.012802469096369293,0.07684531617338841
15020,13050 Reef,-13.2980316666667,143.978380277778,No disturbance,0.21404081203869638,0.679548211259466,0.06880739465059568,0.03760358205124197
15021,13040 Reef,-13.2766180555556,143.954988611111,No disturbance,0.16406982433831027,0.43791738537034125,0.14151154047894804,0.25650124981240047
15022,13074 Reef,-13.4617102777778,144.072495555556,No disturbance,0.40427575696381235,0.4715147315421879,0.0023936569989922644,0.12181585449500744
15023,13116 Reef,-13.5051661111111,144.087265555556,No disturbance,0.11522168701324201,0.5715027509027811,0.18451255076728054,0.1287630113166963
15024,13074 Reef,-13.4573483333333,144.0587925,No disturbance,0.13783530435684146,0.29474056815829663,0.5243858524901489,0.043038274994712945
15025,Wilson Reef,-13.9344058333333,144.405351944444,No disturbance,0.25376409412607187,0.6432559004691393,0.06694219240056486,0.03603781300422396
15026,Wilson Reef,-13.9586036111111,144.4261075,No disturbance,0.09347780205310138,0.4764675681820921,0.37656036639974216,0.05349426336506437
15027,Wilson Reef,-13.9357216666667,144.388446666667,No disturbance,0.12459975489806623,0.5656627835310375,0.17174497403047548,0.13799248754042082
15028,Tydeman Reef,-13.9700055555556,144.526673055556,No disturbance,0.11568198133168547,0.48957943434114765,0.31109881116917415,0.08363977315799274
15029,Tydeman Reef,-13.9802813888889,144.5422725,No disturbance,0.2570397718317594,0.36283556014099927,0.3253757798108096,0.05474888821643177
15030,Tydeman Reef,-13.9701522222222,144.502463333333,No disturbance,0.11080706486234475,0.40901252251789577,0.40231240290421355,0.07786800971554593
15031,14034 Reef,-13.93067387,144.66034264,No disturbance,0.16057922324753582,0.5111869820488367,0.08577296835207215,0.24246082635155533
15032,14034 Reef,-13.9202029,144.62918753,No disturbance,0.14651820872228052,0.5864795953963056,0.10974110653021206,0.1572610893512018
15033,14034 Reef,-13.91641818,144.60342902,No disturbance,0.07633255109116419,0.29189026723762085,0.5607178910186893,0.07105929065252563
